case:concept:name,concept:name,time:timestamp,People,Role
46433,CreateBranch,2021-01-14 18:46:35+00:00,geetachavan1,Committer
46433,OpenPR,2021-01-14 18:48:28+00:00,geetachavan1,Committer
46433,PRReviewComment,2021-01-14 18:50:39+00:00,mihaimaruseac,Reviewer
46433,PRReviewReject,2021-01-14 18:50:43+00:00,mihaimaruseac,Reviewer
46433,PRReviewReject,2021-01-14 18:50:44+00:00,mihaimaruseac,Reviewer
46433,PRReviewApprove,2021-01-14 18:50:56+00:00,mihaimaruseac,Reviewer
46433,SubmitCommit,2021-01-14 18:51:27+00:00,mihaimaruseac,Committer
46433,MergePR,2021-01-14 20:27:31+00:00,mihaimaruseac,Maintainer
46433,DeleteBranch,2021-01-14 20:27:58+00:00,mihaimaruseac,Committer
46542,CreateBranch,2021-01-19 21:45:54+00:00,geetachavan1,Committer
46542,OpenPR,2021-01-19 21:47:36+00:00,geetachavan1,Committer
46542,PRReviewApprove,2021-01-19 21:49:08+00:00,mihaimaruseac,Reviewer
46542,MergePR,2021-01-19 21:49:17+00:00,mihaimaruseac,Maintainer
46542,DeleteBranch,2021-01-19 21:49:43+00:00,mihaimaruseac,Committer
47379,CreateBranch,2021-02-24 19:00:24+00:00,ymodak,Committer
47379,OpenPR,2021-02-24 19:00:34+00:00,ymodak,Committer
47379,PRReviewApprove,2021-02-24 19:01:58+00:00,rthadur,Reviewer
47379,MergePR,2021-02-26 03:51:50+00:00,copybara-service[bot],Maintainer
47379,DeleteBranch,2021-02-26 04:42:09+00:00,ymodak,Committer
47514,CreateBranch,2021-03-02 22:34:35+00:00,geetachavan1,Committer
47514,OpenPR,2021-03-02 22:36:48+00:00,geetachavan1,Committer
47514,PRReviewApprove,2021-03-02 22:44:33+00:00,bfontain,Reviewer
47514,PRReviewApprove,2021-03-02 22:47:58+00:00,mihaimaruseac,Reviewer
47514,PRReviewApprove,2021-03-03 08:01:48+00:00,CyberFlameGO,Reviewer
47514,PRReviewDismiss,2021-03-03 18:56:14+00:00,CyberFlameGO,Maintainer
47514,PRReviewDismiss,2021-03-03 18:56:14+00:00,mihaimaruseac,Maintainer
47514,PRReviewDismiss,2021-03-03 18:56:14+00:00,bfontain,Maintainer
47514,SubmitCommit,2021-03-03 18:56:40+00:00,geetachavan1,Committer
47514,PRReviewApprove,2021-03-03 18:59:23+00:00,bfontain,Reviewer
47514,PRReviewDismiss,2021-03-03 19:36:25+00:00,bfontain,Maintainer
47514,SubmitCommit,2021-03-03 19:36:55+00:00,geetachavan1,Committer
47514,PRReviewApprove,2021-03-03 19:43:06+00:00,bfontain,Reviewer
47514,PRReviewApprove,2021-03-03 21:42:53+00:00,mihaimaruseac,Reviewer
47514,PRReviewApprove,2021-05-19 15:45:33+00:00,mihaimaruseac,Reviewer
47514,DeleteBranch,2021-05-19 15:45:51+00:00,mihaimaruseac,Committer
47735,CreateBranch,2021-03-11 18:49:52+00:00,ymodak,Committer
