CaseID,Activity,People,StartTimestamp
46352,DeleteBranch,advaitjain,2021-01-21 18:54:38
46353,OpenPR,jordanhubbard,2021-01-12 04:19:55
46353,ClosePR,jordanhubbard,2021-01-12 04:20:14
46374,CreateBranch,geetachavan1,2021-01-12 19:07:39
46374,OpenPR,geetachavan1,2021-01-12 19:08:28
46374,SubmitCommit,geetachavan1,2021-01-12 19:38:22
46374,ClosePR,geetachavan1,2021-01-12 19:45:27
46378,CreateBranch,WindQAQ,2021-01-12 20:39:23
46378,OpenPR,WindQAQ,2021-01-12 21:00:47
46378,SubmitCommit,WindQAQ,2021-01-18 19:36:03
46378,SubmitCommit,WindQAQ,2021-01-27 15:08:26
46378,ClosePR,gbaned,2021-04-07 17:16:05
46382,CreateBranch,tfeher,2021-01-09 16:29:41
46382,OpenPR,tfeher,2021-01-12 23:08:35
46382,PRReviewComment,bixia1,2021-01-12 23:44:06
46382,PRReviewComment,bixia1,2021-01-12 23:49:23
46382,PRReviewComment,bixia1,2021-01-12 23:51:20
46382,PRReviewComment,bixia1,2021-01-12 23:51:41
46382,PRReviewComment,bixia1,2021-01-12 23:52:09
46382,PRReviewComment,bixia1,2021-01-12 23:52:56
46382,PRReviewComment,bixia1,2021-01-12 23:52:57
46382,PRReviewComment,tfeher,2021-01-13 11:02:42
46382,PRReviewComment,tfeher,2021-01-13 11:03:31
46382,PRReviewComment,tfeher,2021-01-13 11:14:03
46382,PRReviewComment,tfeher,2021-01-13 11:16:26
46382,PRReviewComment,tfeher,2021-01-13 11:16:41
46382,PRReviewComment,tfeher,2021-01-13 11:22:35
46382,PRReviewComment,tfeher,2021-01-13 11:22:35
46382,PRReviewApprove,bixia1,2021-01-13 16:13:42
46382,SubmitCommit,tfeher,2021-01-14 17:58:52
46382,PRReviewReject,bixia1,2021-01-14 20:39:28
46382,PRReviewApprove,bixia1,2021-01-14 20:39:44
46382,ClosePR,rthadur,2021-01-14 23:17:36
46412,CreateBranch,WindQAQ,2021-01-13 21:57:26
46412,OpenPR,WindQAQ,2021-01-13 22:08:34
46412,SubmitCommit,WindQAQ,2021-01-14 03:23:46
46418,CreateBranch,advaitjain,2021-01-14 05:17:00
46418,OpenPR,advaitjain,2021-01-14 05:17:10
46418,ClosePR,advaitjain,2021-01-14 05:53:50
46418,DeleteBranch,advaitjain,2021-01-29 00:23:15
46422,ForkRepository,WeiChungChang,2021-01-14 07:40:55
46422,CreateBranch,WeiChungChang,2021-01-14 07:53:41
46422,OpenPR,WeiChungChang,2021-01-14 08:24:51
46422,PRReviewComment,abattery,2021-01-14 09:12:46
46422,PRReviewComment,abattery,2021-01-14 09:13:49
46422,PRReviewComment,abattery,2021-01-14 09:13:49
46422,PRReviewComment,abattery,2021-01-14 11:11:14
46422,PRReviewComment,abattery,2021-01-14 11:11:14
46422,ClosePR,abattery,2021-01-14 12:30:09
46434,CreateBranch,advaitjain,2021-01-14 19:09:05
46434,OpenPR,advaitjain,2021-01-14 19:09:06
46434,PRReviewApprove,njeffrie,2021-01-20 18:21:54
46434,ClosePR,advaitjain,2021-01-20 21:16:58
46434,DeleteBranch,advaitjain,2021-01-21 18:55:20
46441,ForkRepository,Akshaysehgal2005,2021-01-15 01:00:50
46441,SubmitCommit,Akshaysehgal2005,2021-01-15 01:19:51
46441,OpenPR,Akshaysehgal2005,2021-01-15 01:35:31
46441,SubmitCommit,Akshaysehgal2005,2021-05-24 05:26:13
46445,ForkRepository,jay-jang,2021-01-15 06:19:56
46445,SubmitCommit,jay-jang,2021-01-15 07:12:25
46445,OpenPR,jay-jang,2021-01-15 07:15:41
46445,ClosePR,jay-jang,2021-01-15 09:47:31
46451,SubmitCommit,wangsiyu,2021-01-15 09:14:45
46451,OpenPR,wangsiyu,2021-01-15 09:25:06
46451,ClosePR,wangsiyu,2021-01-15 09:29:31
46457,CreateBranch,gyshi,2021-01-15 15:16:38
46457,OpenPR,gyshi,2021-01-15 15:28:06
46472,CreateBranch,mahmoud-abuzaina,2021-01-16 00:12:55
46472,OpenPR,mahmoud-abuzaina,2021-01-16 00:31:57
46472,ClosePR,mahmoud-abuzaina,2021-01-16 00:32:19
46481,ForkRepository,vat0599,2021-01-16 10:01:28
46481,SubmitCommit,vat0599,2021-01-16 10:04:18
46481,OpenPR,vat0599,2021-01-16 10:05:11
46481,ClosePR,gbaned,2021-01-18 01:38:04
46510,CreateBranch,zhuzilin,2021-01-18 09:10:37
46510,OpenPR,zhuzilin,2021-01-18 09:22:01
46510,PRReviewApprove,mihaimaruseac,2021-01-18 19:47:38
46510,SubmitCommit,zhuzilin,2021-01-19 03:59:03
46510,PRReviewApprove,mihaimaruseac,2021-01-19 17:08:00
46510,PRReviewComment,jsimsa,2021-01-20 21:17:03
46510,PRReviewComment,jsimsa,2021-01-20 21:17:04
46510,PRReviewComment,jsimsa,2021-01-20 21:18:08
46510,PRReviewComment,jsimsa,2021-01-20 21:18:09
46510,PRReviewComment,jsimsa,2021-01-20 21:18:59
46510,PRReviewComment,jsimsa,2021-01-20 21:19:00
46510,PRReviewReject,jsimsa,2021-01-20 21:20:00
46510,SubmitCommit,zhuzilin,2021-01-30 02:17:30
46510,PRReviewComment,zhuzilin,2021-01-30 02:18:57
46510,PRReviewComment,zhuzilin,2021-01-30 02:18:58
46510,PRReviewComment,zhuzilin,2021-01-30 02:19:36
46510,PRReviewComment,zhuzilin,2021-01-30 02:19:36
46510,PRReviewComment,jsimsa,2021-02-01 20:13:34
46510,PRReviewComment,jsimsa,2021-02-01 20:13:35
46510,ClosePR,zhuzilin,2021-03-04 02:14:56
46517,CreateBranch,WindQAQ,2021-01-18 22:18:03
46517,OpenPR,WindQAQ,2021-01-18 22:39:32
46517,SubmitCommit,WindQAQ,2021-01-18 22:54:46
46544,CreateBranch,kaixih,2021-01-20 00:18:42
46544,OpenPR,kaixih,2021-01-20 00:24:57
46544,PRReviewComment,sanjoy,2021-01-20 05:36:37
46544,PRReviewReject,sanjoy,2021-01-20 05:36:40
46544,PRReviewReject,sanjoy,2021-01-20 05:36:40
46544,SubmitCommit,kaixih,2021-01-20 18:33:56
46544,PRReviewApprove,sanjoy,2021-01-26 05:13:30
46544,PRReviewApprove,gbaned,2021-01-28 14:29:45
46544,PRReviewApprove,gbaned,2021-01-30 04:58:51
46544,ClosePR,kaixih,2021-03-04 04:08:37
46612,ForkRepository,igor-gudich-fpc,2021-01-22 18:25:00
46612,SubmitCommit,igor-gudich-fpc,2021-01-22 18:26:33
46612,OpenPR,igor-gudich-fpc,2021-01-22 18:27:33
46612,PRReviewApprove,mihaimaruseac,2021-01-22 18:35:20
46612,ClosePR,mihaimaruseac,2021-01-26 17:56:34
46694,CreateBranch,elfringham,2021-01-26 15:39:24
46694,OpenPR,elfringham,2021-01-26 15:42:26
46694,ClosePR,elfringham,2021-01-26 16:59:33
46694,DeleteBranch,elfringham,2021-01-26 17:04:08
46695,CreateBranch,takumiohym,2021-01-26 15:48:14
46695,OpenPR,takumiohym,2021-01-26 15:49:57
46695,ClosePR,takumiohym,2021-01-26 15:52:41
46695,DeleteBranch,takumiohym,2021-01-26 15:57:08
46697,CreateBranch,takumiohym,2021-01-26 15:59:05
46697,OpenPR,takumiohym,2021-01-26 16:00:59
46697,PRReviewReject,mihaimaruseac,2021-04-11 03:55:32
46697,ClosePR,mihaimaruseac,2021-05-12 17:52:36
46722,CreateBranch,benbarsdell,2021-01-27 06:05:13
46722,OpenPR,benbarsdell,2021-01-27 06:29:01
46722,SubmitCommit,benbarsdell,2021-01-27 12:40:02
46722,PRReviewComment,AyanmoI,2021-04-06 05:48:48
46722,PRReviewComment,AyanmoI,2021-04-06 05:48:48
46722,PRReviewComment,AyanmoI,2021-04-06 05:51:45
46722,PRReviewComment,AyanmoI,2021-04-06 05:51:45
46722,PRReviewComment,AyanmoI,2021-04-06 05:53:24
46722,PRReviewComment,AyanmoI,2021-04-06 05:53:25
46722,PRReviewComment,AyanmoI,2021-04-21 17:36:33
46722,PRReviewComment,AyanmoI,2021-04-21 17:36:34
46734,CreateBranch,pedro-r-marques,2021-01-27 14:56:06
46734,OpenPR,pedro-r-marques,2021-01-27 15:03:44
46734,ClosePR,pedro-r-marques,2021-03-24 17:39:30
46751,OpenPR,grapefruitL,2021-01-28 06:44:18
46751,ClosePR,grapefruitL,2021-01-29 01:40:00
46758,SubmitCommit,andreABbauer,2021-01-28 16:26:41
46758,OpenPR,andreABbauer,2021-01-28 16:28:23
46758,ClosePR,andreABbauer,2021-04-08 07:01:32
46778,ForkRepository,de-code,2021-01-29 00:31:53
46778,CreateBranch,de-code,2021-01-29 00:37:34
46778,OpenPR,de-code,2021-01-29 00:40:06
46778,SubmitCommit,de-code,2021-02-16 20:59:38
46778,ClosePR,mihaimaruseac,2021-02-17 16:54:52
46778,DeleteBranch,de-code,2021-02-17 18:36:55
46779,CreateBranch,CuiYifeng,2021-01-29 04:43:10
46779,OpenPR,CuiYifeng,2021-01-29 04:45:41
46793,CreateBranch,rsun-bdti,2021-01-29 18:27:25
46793,OpenPR,rsun-bdti,2021-01-29 18:27:54
46793,ClosePR,rsun-bdti,2021-01-29 21:21:21
46795,CreateBranch,rsun-bdti,2021-01-29 18:59:33
46795,OpenPR,rsun-bdti,2021-01-29 19:00:50
46795,ClosePR,rsun-bdti,2021-01-29 21:20:47
46802,ForkRepository,Victrid,2021-01-30 04:21:18
46802,SubmitCommit,Victrid,2021-01-30 06:38:08
46802,OpenPR,Victrid,2021-01-30 07:01:31
46802,SubmitCommit,Victrid,2021-01-30 08:28:15
46814,ForkRepository,aditirani,2021-01-31 05:37:38
46814,CreateBranch,aditirani,2021-01-31 06:29:20
46814,OpenPR,aditirani,2021-01-31 12:47:58
46814,PRReviewComment,Suraj-Upadhyay,2021-02-04 06:52:44
46814,ClosePR,gbaned,2021-02-04 13:26:08
46836,CreateBranch,WindQAQ,2021-02-01 19:52:27
46836,OpenPR,WindQAQ,2021-02-01 19:58:04
46836,SubmitCommit,WindQAQ,2021-02-06 03:26:20
46836,PRReviewComment,tenjua,2021-06-23 17:01:55
46836,PRReviewComment,tenjua,2021-06-23 17:02:55
46836,PRReviewComment,tenjua,2021-06-23 17:03:07
46836,PRReviewComment,tenjua,2021-06-23 17:03:08
46836,PRReviewComment,tenjua,2021-06-23 17:04:31
46836,PRReviewComment,tenjua,2021-06-23 17:04:32
46836,PRReviewComment,tenjua,2021-06-23 17:06:48
46836,PRReviewComment,tenjua,2021-06-23 17:06:48
46836,PRReviewComment,tenjua,2021-06-23 17:07:38
46836,PRReviewApprove,tenjua,2021-06-23 17:07:49
46836,PRReviewApprove,tenjua,2021-06-23 17:07:49
46836,PRReviewComment,tenjua,2021-06-23 17:08:57
46836,PRReviewReject,tenjua,2021-06-23 17:09:05
46836,PRReviewReject,tenjua,2021-06-23 17:09:05
46861,CreateBranch,AdamHillier,2021-02-02 20:19:31
46861,OpenPR,AdamHillier,2021-02-02 20:23:12
46861,PRReviewApprove,njeffrie,2021-02-03 06:21:06
46861,PRReviewComment,njeffrie,2021-02-03 06:37:10
46861,PRReviewApprove,njeffrie,2021-02-03 06:37:21
46861,PRReviewApprove,njeffrie,2021-02-03 06:37:21
46861,PRReviewComment,AdamHillier,2021-02-03 10:04:56
46861,PRReviewComment,AdamHillier,2021-02-03 10:04:56
46861,SubmitCommit,AdamHillier,2021-02-03 17:01:42
46861,SubmitCommit,AdamHillier,2021-02-03 17:03:11
46861,PRReviewComment,AdamHillier,2021-02-03 17:05:31
46861,PRReviewComment,AdamHillier,2021-02-03 17:05:32
46861,PRReviewComment,njeffrie,2021-02-03 20:04:00
46861,PRReviewApprove,njeffrie,2021-02-03 20:04:08
46861,PRReviewApprove,njeffrie,2021-02-03 20:04:08
46861,SubmitCommit,AdamHillier,2021-02-07 20:10:55
46861,PRReviewApprove,njeffrie,2021-03-01 14:12:52
46861,PRReviewApprove,gbaned,2021-03-04 10:40:17
46862,CreateBranch,yair-ehrenwald,2021-02-02 20:22:20
46862,SubmitCommit,yair-ehrenwald,2021-02-02 20:24:40
46862,OpenPR,yair-ehrenwald,2021-02-02 20:26:31
46862,PRReviewComment,advaitjain,2021-02-02 21:05:49
46862,PRReviewComment,advaitjain,2021-02-02 21:10:23
46862,PRReviewComment,advaitjain,2021-02-02 21:10:23
46862,PRReviewComment,yair-ehrenwald,2021-02-02 22:13:19
46862,PRReviewComment,yair-ehrenwald,2021-02-02 22:13:20
46862,PRReviewComment,advaitjain,2021-02-03 00:39:01
46862,PRReviewComment,advaitjain,2021-02-03 00:39:02
46862,PRReviewComment,advaitjain,2021-02-08 21:29:16
46862,ClosePR,advaitjain,2021-02-16 16:52:17
46869,CreateBranch,ShengYang1,2021-02-03 02:40:27
46869,OpenPR,ShengYang1,2021-02-03 03:19:51
46869,PRReviewApprove,ezhulenev,2021-02-24 15:18:33
46869,PRReviewApprove,penpornk,2021-03-02 20:17:31
46869,PRReviewReject,penpornk,2021-03-04 21:02:45
46869,SubmitCommit,ShengYang1,2021-03-05 08:08:57
46869,ClosePR,penpornk,2021-03-17 01:02:31
46873,ForkRepository,alisonwh,2021-02-03 09:09:00
46873,SubmitCommit,alisonwh,2021-02-03 09:35:50
46873,OpenPR,alisonwh,2021-02-03 09:46:57
46873,PRReviewComment,miaout17,2021-02-16 17:21:17
46873,PRReviewComment,miaout17,2021-02-16 17:23:23
46873,PRReviewComment,miaout17,2021-02-16 17:23:23
46873,PRReviewComment,daverim,2021-03-22 00:22:17
46873,PRReviewComment,daverim,2021-03-22 00:26:38
46873,PRReviewComment,daverim,2021-03-22 00:27:14
46873,PRReviewComment,daverim,2021-03-22 00:27:15
46873,PRReviewComment,alisonwh,2021-04-30 04:02:15
46873,PRReviewComment,alisonwh,2021-04-30 04:02:15
46874,OpenPR,xinan-jiang,2021-02-03 09:51:56
46874,ClosePR,gbaned,2021-02-03 14:12:35
46874,DeleteBranch,xinan-jiang,2021-02-04 01:36:09
46894,SubmitCommit,NathanHowell,2021-02-03 19:38:11
46894,OpenPR,NathanHowell,2021-02-03 19:47:48
46894,ClosePR,gbaned,2021-04-08 13:51:26
46959,CreateBranch,ashraf-bhuiyan,2021-02-05 17:58:41
46959,OpenPR,ashraf-bhuiyan,2021-02-05 18:00:08
46959,ClosePR,ashraf-bhuiyan,2021-02-05 19:10:07
46959,DeleteBranch,ashraf-bhuiyan,2021-02-05 19:59:09
46967,ForkRepository,agarwalutkarsh554,2021-01-29 20:54:11
46967,SubmitCommit,agarwalutkarsh554,2021-02-06 06:48:29
46967,OpenPR,agarwalutkarsh554,2021-02-06 06:48:46
46967,ClosePR,mihaimaruseac,2021-03-20 17:58:27
46968,CreateBranch,georgepaw,2021-02-06 12:50:30
46968,OpenPR,georgepaw,2021-02-06 13:52:33
46968,ClosePR,georgepaw,2021-02-15 11:31:57
46968,DeleteBranch,georgepaw,2021-02-15 11:32:06
46969,CreateBranch,lkindrat-xmos,2021-02-06 14:30:24
46969,OpenPR,lkindrat-xmos,2021-02-06 14:31:03
46969,ClosePR,lkindrat-xmos,2021-02-06 14:31:20
46969,DeleteBranch,lkindrat-xmos,2021-03-19 18:46:05
46991,CreateBranch,WindQAQ,2021-02-08 02:07:00
46991,OpenPR,WindQAQ,2021-02-08 02:13:33
46991,PRReviewComment,abattery,2021-02-08 03:10:40
46991,PRReviewComment,abattery,2021-02-08 03:10:40
46991,PRReviewApprove,abattery,2021-02-08 03:11:21
46991,SubmitCommit,WindQAQ,2021-02-08 03:14:48
46991,PRReviewComment,WindQAQ,2021-02-08 03:15:34
46991,PRReviewComment,WindQAQ,2021-02-08 03:15:34
46991,PRReviewApprove,abattery,2021-02-08 03:16:20
46991,PRReviewApprove,thaink,2021-02-08 04:43:45
46991,PRReviewComment,abattery,2021-02-08 22:58:30
46991,PRReviewComment,abattery,2021-02-08 22:58:30
46991,PRReviewComment,WindQAQ,2021-02-09 00:12:53
46991,PRReviewComment,WindQAQ,2021-02-09 00:12:53
46991,SubmitCommit,WindQAQ,2021-02-09 00:15:06
46991,PRReviewApprove,abattery,2021-02-09 00:15:20
46991,PRReviewComment,thaink,2021-02-09 00:28:22
46991,PRReviewComment,thaink,2021-02-09 00:28:25
46991,PRReviewComment,thaink,2021-02-09 00:28:25
46991,PRReviewComment,WindQAQ,2021-02-09 00:31:51
46991,PRReviewComment,WindQAQ,2021-02-09 00:31:51
46991,PRReviewComment,abattery,2021-02-09 00:35:49
46991,PRReviewComment,abattery,2021-02-09 00:35:49
46991,PRReviewApprove,miaout17,2021-02-09 01:33:32
46991,PRReviewComment,thaink,2021-02-09 01:34:45
46991,PRReviewComment,thaink,2021-02-09 01:34:45
46991,PRReviewApprove,thaink,2021-02-09 01:35:09
47040,ForkRepository,anonymous-313,2021-02-09 11:22:53
47040,SubmitCommit,anonymous-313,2021-02-09 15:12:54
47040,OpenPR,anonymous-313,2021-02-09 15:13:37
47040,ClosePR,mihaimaruseac,2021-02-15 18:32:48
47063,CreateBranch,vikramdattu,2021-02-10 09:38:03
47063,OpenPR,vikramdattu,2021-02-10 09:38:13
47063,PRReviewComment,advaitjain,2021-02-10 18:28:59
47063,PRReviewComment,advaitjain,2021-02-10 18:29:06
47063,PRReviewReject,advaitjain,2021-02-10 18:29:54
47063,PRReviewReject,advaitjain,2021-02-10 18:29:54
47063,PRReviewComment,vikramdattu,2021-02-15 11:10:30
47063,PRReviewComment,vikramdattu,2021-02-15 11:10:31
47063,PRReviewComment,advaitjain,2021-02-16 20:14:22
47063,PRReviewComment,advaitjain,2021-02-16 20:14:23
47063,PRReviewComment,vikramdattu,2021-03-05 07:11:25
47063,PRReviewComment,vikramdattu,2021-03-05 07:11:26
47063,SubmitCommit,vikramdattu,2021-04-07 13:41:50
47063,ClosePR,advaitjain,2021-06-01 17:04:55
47082,CreateBranch,benbarsdell,2021-02-11 08:09:54
47082,OpenPR,benbarsdell,2021-02-11 08:41:02
47082,PRReviewComment,sanjoy,2021-02-25 04:37:48
47082,PRReviewComment,sanjoy,2021-02-25 04:40:39
47082,PRReviewReject,sanjoy,2021-02-25 04:40:42
47082,PRReviewReject,sanjoy,2021-02-25 04:40:42
47082,PRReviewComment,benbarsdell,2021-03-01 12:51:44
47082,PRReviewComment,benbarsdell,2021-03-01 12:51:45
47082,PRReviewComment,benbarsdell,2021-03-01 12:51:51
47082,PRReviewComment,benbarsdell,2021-03-01 12:51:51
47082,PRReviewComment,benbarsdell,2021-03-01 12:51:55
47082,PRReviewComment,benbarsdell,2021-03-01 12:51:56
47082,PRReviewComment,benbarsdell,2021-03-01 12:52:01
47082,PRReviewComment,benbarsdell,2021-03-01 12:52:02
47082,PRReviewComment,benbarsdell,2021-03-01 12:52:45
47082,PRReviewComment,benbarsdell,2021-03-01 12:52:46
