case:concept:name,concept:name,time:timestamp,People,Role
47343,PRReviewComment,2021-03-18 17:06:43+00:00,chenmoneygithub,Reviewer
47343,PRReviewComment,2021-03-18 17:07:34+00:00,chenmoneygithub,Reviewer
47343,PRReviewComment,2021-03-18 17:16:09+00:00,chenmoneygithub,Reviewer
47343,PRReviewComment,2021-03-18 17:16:31+00:00,chenmoneygithub,Reviewer
47343,PRReviewComment,2021-03-18 17:26:48+00:00,AdityaKane2001,Reviewer
47343,PRReviewComment,2021-03-18 17:26:49+00:00,AdityaKane2001,Reviewer
47343,SubmitCommit,2021-03-18 17:26:56+00:00,AdityaKane2001,Committer
47343,PRReviewComment,2021-03-18 17:38:52+00:00,chenmoneygithub,Reviewer
47343,PRReviewComment,2021-03-18 17:39:37+00:00,chenmoneygithub,Reviewer
47343,PRReviewComment,2021-03-18 17:39:38+00:00,chenmoneygithub,Reviewer
47343,PRReviewComment,2021-03-18 17:42:08+00:00,AdityaKane2001,Reviewer
47343,PRReviewComment,2021-03-18 17:44:15+00:00,AdityaKane2001,Reviewer
47343,SubmitCommit,2021-03-18 17:44:27+00:00,AdityaKane2001,Committer
47343,PRReviewComment,2021-03-18 17:46:37+00:00,chenmoneygithub,Reviewer
47343,PRReviewComment,2021-03-18 17:46:55+00:00,chenmoneygithub,Reviewer
47343,PRReviewApprove,2021-03-18 17:47:31+00:00,chenmoneygithub,Reviewer
47343,PRReviewComment,2021-03-18 17:50:07+00:00,AdityaKane2001,Reviewer
47343,PRReviewComment,2021-03-18 17:50:08+00:00,AdityaKane2001,Reviewer
47343,SubmitCommit,2021-03-18 17:50:11+00:00,AdityaKane2001,Committer
47343,PRReviewComment,2021-03-18 18:00:54+00:00,AdityaKane2001,Reviewer
47343,PRReviewComment,2021-03-18 18:00:55+00:00,AdityaKane2001,Reviewer
47343,PRReviewComment,2021-03-18 18:19:24+00:00,AdityaKane2001,Reviewer
47343,PRReviewComment,2021-03-18 18:19:25+00:00,AdityaKane2001,Reviewer
47343,ClosePR,2021-03-23 04:50:29+00:00,AdityaKane2001,Maintainer
47349,CreateBranch,2021-02-23 17:15:28+00:00,jgehw,Committer
47349,OpenPR,2021-02-23 17:27:01+00:00,jgehw,Committer
47349,PRReviewComment,2021-02-24 04:46:40+00:00,jsimsa,Reviewer
47349,PRReviewComment,2021-02-24 04:46:41+00:00,jsimsa,Reviewer
47349,PRReviewComment,2021-02-24 11:34:43+00:00,jgehw,Reviewer
